phase,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,elapsed_s
1,1,0.395748,0.563631,1.337398,0.289397,0.38225,0.001,184.5
1,2,0.380606,0.57437,1.313209,0.287492,0.369805,0.001,175.8
1,3,0.37707,0.576837,1.452048,0.284508,0.36616,0.001,168.9
1,4,0.378648,0.573553,1.4695,0.286603,0.368865,0.001,147.8
1,5,0.375502,0.578173,1.411717,0.28781,0.37059,0.001,143.4
1,6,0.373161,0.578227,1.480232,0.286603,0.364223,0.0005,140.1
2,1,0.368638,0.580571,1.447835,0.288825,0.299949,1e-05,186.6
2,2,0.353699,0.582302,1.5728,0.298159,0.263559,1e-05,177.8
2,3,0.337131,0.600578,1.463033,0.326603,0.249841,1e-05,177.4
2,4,0.316944,0.633395,1.578624,0.347429,0.244123,1e-05,176.1
2,5,0.305687,0.648768,1.5007,0.376825,0.237445,5e-06,177.2
2,6,0.302392,0.655691,1.446518,0.398286,0.231335,5e-06,176.8
2,7,0.29681,0.665122,1.467023,0.403492,0.233607,5e-06,177.2
2,8,0.288626,0.674757,1.503782,0.406349,0.230919,5e-06,188.2
2,9,0.288229,0.677129,1.477596,0.412698,0.223515,5e-06,186.6
2,10,0.280004,0.686055,1.532437,0.412254,0.219549,2.5e-06,187.0
2,11,0.277233,0.692393,1.499753,0.420825,0.220651,2.5e-06,192.1
