phase,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,elapsed_s
1,1,0.407568,0.578541,1.644721,0.290222,0.377767,0.001,333.9
1,2,0.399971,0.58188,1.453846,0.292762,0.370445,0.001,333.4
1,3,0.395679,0.584714,1.499255,0.31073,0.373601,0.001,336.8
1,4,0.396159,0.583897,1.580723,0.28781,0.365029,0.001,331.8
1,5,0.39408,0.585069,1.523809,0.303683,0.367875,0.001,333.8
1,6,0.397045,0.582997,1.634104,0.28673,0.367522,0.001,336.0
1,7,0.39004,0.581784,1.615445,0.288698,0.365056,0.0005,332.7
2,1,0.339808,0.632809,1.646976,0.391048,0.225272,1e-05,763.9
2,2,0.281255,0.707643,1.104045,0.449968,0.210836,1e-05,764.5
2,3,0.257451,0.738239,1.095851,0.521143,0.200311,1e-05,769.7
2,4,0.238844,0.760794,1.200119,0.53181,0.20162,1e-05,770.7
2,5,0.222836,0.780146,1.210037,0.554032,0.204545,1e-05,772.0
2,6,0.210713,0.795587,1.128191,0.523302,0.210097,1e-05,769.8
2,7,0.199227,0.806313,0.93203,0.601968,0.196259,1e-05,774.8
2,8,0.189077,0.819655,1.213494,0.571302,0.201049,1e-05,775.9
2,9,0.180812,0.828309,1.201521,0.583556,0.195851,1e-05,776.7
2,10,0.175679,0.834578,1.086949,0.585143,0.198946,1e-05,783.8
2,11,0.165596,0.844759,0.981912,0.669333,0.188102,1e-05,788.2
2,12,0.139914,0.871279,0.866895,0.704698,0.195234,5e-06,784.2
2,13,0.128659,0.881678,0.992254,0.699048,0.193636,5e-06,780.7
2,14,0.121369,0.88976,1.182637,0.665968,0.195182,5e-06,785.3
2,15,0.119675,0.891259,1.082189,0.697778,0.190585,5e-06,767.2
